,Wa0,Wa1,Wa2,Wa3,Wa4,Wa5,Wa6,Wa7,Wa8,Wa9,Wa10,Wa11,Wa12,Wa13,Wa14,Wa15,Wa16,Wa17,Wa18,Wa19,Wa20,Wa21,Wa22,Wa23
2012-04-02,0.014794788273615635,0.06411074918566775,0.09370032573289903,0.10356351791530945,0.03945276872964169,0.004931596091205212,0.014794788273615635,0.0,0.0,0.0,0.0,0.0,0.0,0.019726384364820847,0.009863192182410423,0.019726384364820847,0.014794788273615635,0.04931596091205212,0.04931596091205212,0.02958957654723127,0.004931596091205212,0.0,0.014794788273615635,0.019726384364820847
2012-04-03,0.04931596091205212,0.019726384364820847,0.05917915309446254,0.06411074918566775,0.07890553745928339,0.0,0.03452117263843648,0.004931596091205212,0.0,0.0,0.0,0.0,0.0,0.014794788273615635,0.0,0.019726384364820847,0.004931596091205212,0.009863192182410423,0.0,0.004931596091205212,0.0,0.004931596091205212,0.019726384364820847,0.05917915309446254
2012-04-04,0.02958957654723127,0.0838371335504886,0.03945276872964169,0.11835830618892508,0.004931596091205212,0.0,0.07397394136807818,0.004931596091205212,0.004931596091205212,0.0,0.0,0.0,0.0,0.019726384364820847,0.004931596091205212,0.0,0.019726384364820847,0.014794788273615635,0.03452117263843648,0.04931596091205212,0.0,0.0,0.009863192182410423,0.03945276872964169
2012-04-05,0.0443843648208469,0.014794788273615635,0.04931596091205212,0.05917915309446254,0.10356351791530945,0.0443843648208469,0.019726384364820847,0.0,0.0,0.0,0.0,0.0,0.0,0.019726384364820847,0.004931596091205212,0.004931596091205212,0.02958957654723127,0.019726384364820847,0.004931596091205212,0.014794788273615635,0.0,0.004931596091205212,0.04931596091205212,0.014794788273615635
2012-04-06,0.004931596091205212,0.07397394136807818,0.09370032573289903,0.11835830618892508,0.009863192182410423,0.009863192182410423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004931596091205212,0.004931596091205212,0.02958957654723127,0.014794788273615635,0.019726384364820847,0.0,0.004931596091205212,0.004931596091205212,0.0,0.009863192182410423,0.07890553745928339
2012-04-07,0.02465798045602606,0.11342671009771987,0.06411074918566775,0.0,0.06411074918566775,0.0,0.009863192182410423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02465798045602606,0.02465798045602606,0.004931596091205212,0.004931596091205212,0.0,0.0,0.0,0.004931596091205212,0.009863192182410423,0.004931596091205212
2012-04-08,0.009863192182410423,0.019726384364820847,0.07397394136807818,0.0887687296416938,0.004931596091205212,0.0,0.019726384364820847,0.0,0.0,0.0,0.004931596091205212,0.0,0.0,0.0,0.0,0.009863192182410423,0.019726384364820847,0.054247557003257334,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-09,0.0,0.0,0.02958957654723127,0.0838371335504886,0.09863192182410424,0.0,0.0,0.009863192182410423,0.0,0.0,0.0,0.0,0.0,0.0,0.009863192182410423,0.0,0.0,0.019726384364820847,0.02465798045602606,0.004931596091205212,0.004931596091205212,0.0,0.0,0.07397394136807818
2012-04-10,0.03452117263843648,0.009863192182410423,0.07397394136807818,0.054247557003257334,0.07890553745928339,0.02465798045602606,0.04931596091205212,0.004931596091205212,0.0,0.0,0.0,0.0,0.0,0.004931596091205212,0.014794788273615635,0.0443843648208469,0.004931596091205212,0.014794788273615635,0.03452117263843648,0.0443843648208469,0.009863192182410423,0.02958957654723127,0.004931596091205212,0.03945276872964169
2012-04-11,0.11835830618892508,0.03945276872964169,0.07890553745928339,0.0887687296416938,0.06904234527687296,0.009863192182410423,0.019726384364820847,0.0,0.0,0.0,0.0,0.0,0.0,0.02465798045602606,0.004931596091205212,0.019726384364820847,0.014794788273615635,0.004931596091205212,0.009863192182410423,0.0,0.0,0.004931596091205212,0.019726384364820847,0.07397394136807818
