,We0,We1,We2,We3,We4,We5
2013-12-01,0.48135116115411686,0.48627726952850103,0.49964813511611544,0.5214637579169599,0.446164672765658,0.41520056298381425
2013-12-02,0.3391977480647432,0.34623504574243497,0.3673469387755102,0.4088669950738916,0.3448275862068966,0.24560168895144266
2013-12-03,0.20619282195636876,0.19704433497536947,0.24841660802251933,0.3434201266713582,0.24067558057705843,0.1717100633356791
2013-12-04,0.1597466572836031,0.127375087966221,0.1984517945109078,0.3011963406052076,0.2287121745249824,0.17030260380014076
2013-12-05,0.10344827586206896,0.1294862772695285,0.18437719915552428,0.23645320197044337,0.19985925404644617,0.15482054890921887
2013-12-06,0.08374384236453201,0.0724841660802252,0.1414496833216045,0.22097114707952145,0.1301900070372977,0.07741027445460943
2013-12-07,0.03166783954961295,0.0,0.0696692470091485,0.18156228008444758,0.11611541168191415,0.04292751583391976
2013-12-08,0.09500351864883885,0.11118930330752992,0.15200562983814217,0.2202674173117523,0.1569317382125264,0.13933849401829698
2013-12-09,0.17100633356790992,0.18789584799437017,0.1780436312456017,0.19211822660098524,0.2019704433497537,0.21323011963406052
2013-12-10,0.223082336382829,0.2329345531315975,0.24630541871921183,0.2505277973258269,0.2603800140745954,0.2603800140745954
2013-12-11,0.2540464461646728,0.2554539057002111,0.2885292047853624,0.3370865587614356,0.2899366643209008,0.2765657987332864
2013-12-12,0.235045742434905,0.24912033779028853,0.2941590429275158,0.3694581280788177,0.3680506685432794,0.37016185784658695
2013-12-13,0.34834623504574247,0.35397607318789587,0.37579169598874035,0.4039408866995074,0.40675580577058407,0.41520056298381425
2013-12-14,0.41379310344827586,0.4194229415904293,0.4433497536945813,0.4517945109078114,0.4405348346235046,0.4489795918367347
2013-12-15,0.4560168895144265,0.4489795918367347,0.4679802955665025,0.49824067558057705,0.39901477832512317,0.33638282899366645
2013-12-16,0.30401125967628434,0.3054187192118227,0.3589021815622801,0.4468684025334272,0.414496833216045,0.3230119634060521
2013-12-17,0.28430682617874736,0.3103448275862069,0.3610133708655876,0.39268121041520054,0.39408866995073893,0.40464461646727656
2013-12-18,0.37368050668543284,0.39057002111189304,0.3828289936664321,0.39408866995073893,0.36171710063335677,0.25756509500351865
2013-12-19,0.22237860661505984,0.1928219563687544,0.23856439127375087,0.2772695285010556,0.2723434201266714,0.26319493314567205
2013-12-20,0.2266009852216749,0.22378606615059818,0.235045742434905,0.2603800140745954,0.27375087966220973,0.2765657987332864
2013-12-21,0.27515833919774807,0.27375087966220973,0.28219563687543986,0.30823363828289935,0.31104855735397613,0.2997888810696693
2013-12-22,0.2976776917663617,0.2934553131597467,0.3194933145672062,0.34623504574243497,0.34834623504574247,0.36664320900774106
2013-12-23,0.4053483462350458,0.4560168895144265,0.48064743138634763,0.482054890921886,0.4250527797325827,0.4109781843771992
