,Wa0,Wa1,Wa2,Wa3,Wa4,Wa5,Wa6,Wa7,Wa8,Wa9,Wa10,Wa11,Wa12,Wa13,Wa14,Wa15,Wa16,Wa17,Wa18,Wa19,Wa20,Wa21,Wa22,Wa23
2013-12-01,0.009120521172638436,0.08143322475570032,0.016286644951140065,0.03257328990228013,0.16677524429967427,0.13355048859934854,0.016938110749185668,0.07035830618892508,0.03908794788273615,0.0,0.0,0.0,0.0,0.0,0.0,0.009771986970684038,0.03061889250814332,0.016286644951140065,0.03517915309446254,0.06905537459283388,0.0,0.018241042345276872,0.0,0.020846905537459284
2013-12-02,0.1732899022801303,0.1543973941368078,0.20716612377850163,0.029315960912052116,0.16026058631921825,0.14201954397394137,0.049511400651465795,0.02214983713355049,0.0,0.0,0.003908794788273616,0.0,0.0,0.0,0.054071661237785014,0.03517915309446254,0.0006514657980456026,0.028664495114006514,0.0013029315960912053,0.003908794788273616,0.009120521172638436,0.0,0.03778501628664495,0.0071661237785016286
2013-12-03,0.11596091205211727,0.001954397394136808,0.18175895765472314,0.08078175895765473,0.26123778501628664,0.04560260586319218,0.0006514657980456026,0.01758957654723127,0.0,0.0,0.0,0.0,0.0,0.0,0.05993485342019544,0.020195439739413682,0.007817589576547232,0.008469055374592834,0.0,0.0,0.016938110749185668,0.033876221498371335,0.040390879478827364,0.10097719869706841
2013-12-04,0.012377850162866449,0.12312703583061889,0.03517915309446254,0.05993485342019544,0.19218241042345277,0.21172638436482086,0.24820846905537458,0.026058631921824105,0.0,0.0,0.011726384364820847,0.0,0.0,0.0,0.057980456026058634,0.03452768729641694,0.0,0.03973941368078176,0.0,0.004560260586319218,0.008469055374592834,0.0,0.011726384364820847,0.012377850162866449
2013-12-05,0.013029315960912053,0.0749185667752443,0.1973941368078176,0.056026058631921824,0.1745928338762215,0.10358306188925082,0.003257328990228013,0.03322475570032573,0.0,0.0,0.0,0.0,0.0,0.0,0.018241042345276872,0.038436482084690554,0.01498371335504886,0.020846905537459284,0.0781758957654723,0.013029315960912053,0.11661237785016286,0.0013029315960912053,0.0,0.005863192182410423
2013-12-06,0.0,0.035830618892508145,0.09055374592833876,0.012377850162866449,0.056026058631921824,0.13420195439739413,0.014332247557003257,0.003908794788273616,0.0,0.0,0.0,0.0,0.0,0.0,0.02736156351791531,0.028664495114006514,0.004560260586319218,0.0,0.003908794788273616,0.0,0.0,0.004560260586319218,0.0,0.0
2013-12-07,0.07687296416938111,0.11074918566775244,0.057980456026058634,0.26579804560260584,0.06058631921824104,0.14332247557003258,0.01758957654723127,0.0013029315960912053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005863192182410423,0.053420195439739415,0.16221498371335505,0.0749185667752443,0.13941368078175895,0.03778501628664495,0.031270358306188926,0.0755700325732899,0.011726384364820847
2013-12-08,0.0,0.10358306188925082,0.031921824104234525,0.0,0.06254071661237785,0.1250814332247557,0.0,0.004560260586319218,0.011074918566775244,0.005211726384364821,0.0,0.0006514657980456026,0.0013029315960912053,0.0,0.0,0.009771986970684038,0.03713355048859935,0.024755700325732898,0.06579804560260587,0.09576547231270359,0.019543973941368076,0.036482084690553744,0.024755700325732898,0.01758957654723127
2013-12-09,0.04495114006514658,0.013029315960912053,0.12117263843648209,0.15570032573289902,0.011074918566775244,0.13745928338762214,0.0,0.010423452768729642,0.0,0.0,0.0,0.0,0.0,0.0,0.03908794788273615,0.024755700325732898,0.005211726384364821,0.023452768729641693,0.0,0.015635179153094463,0.0,0.001954397394136808,0.0,0.026058631921824105
2013-12-10,0.08925081433224756,0.11465798045602606,0.17850162866449512,0.1003257328990228,0.11596091205211727,0.24820846905537458,0.011726384364820847,0.01498371335504886,0.0,0.0,0.0,0.0,0.009771986970684038,0.0,0.02736156351791531,0.036482084690553744,0.0,0.005863192182410423,0.0006514657980456026,0.028013029315960912,0.0,0.0,0.0,0.035830618892508145
