,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23
2012-12-01,0.01282051282051282,0.02564102564102564,0.10256410256410256,0.0,0.15384615384615385,0.21794871794871795,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.038461538461538464,0.15384615384615385,0.01282051282051282,0.0,0.0641025641025641,0.0641025641025641,0.20512820512820512
2012-12-02,0.0641025641025641,0.1794871794871795,0.01282051282051282,0.1282051282051282,0.16666666666666666,0.1794871794871795,0.0,0.05128205128205128,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0641025641025641,0.10256410256410256,0.01282051282051282,0.02564102564102564
2012-12-03,0.15384615384615385,0.11538461538461539,0.2564102564102564,0.2564102564102564,0.1794871794871795,0.01282051282051282,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0641025641025641,0.0,0.038461538461538464,0.038461538461538464,0.1282051282051282,0.02564102564102564,0.01282051282051282,0.02564102564102564,0.01282051282051282
2012-12-04,0.24358974358974358,0.2564102564102564,0.07692307692307693,0.14102564102564102,0.0,0.34615384615384615,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.01282051282051282,0.02564102564102564,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0641025641025641,0.0,0.02564102564102564
2012-12-05,0.10256410256410256,0.05128205128205128,0.02564102564102564,0.24358974358974358,0.1794871794871795,0.0641025641025641,0.21794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0641025641025641,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.21794871794871795,0.05128205128205128,0.01282051282051282,0.01282051282051282
2012-12-06,0.01282051282051282,0.10256410256410256,0.0641025641025641,0.02564102564102564,0.01282051282051282,0.08974358974358974,0.23076923076923078,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.038461538461538464,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464
2012-12-07,0.02564102564102564,0.0641025641025641,0.05128205128205128,0.4230769230769231,0.5128205128205128,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0641025641025641,0.0,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.0
2012-12-08,0.0,0.23076923076923078,0.10256410256410256,0.038461538461538464,0.1282051282051282,0.3974358974358974,0.10256410256410256,0.0,0.20512820512820512,0.0,0.23076923076923078,0.24358974358974358,0.02564102564102564,0.21794871794871795,0.28205128205128205,0.21794871794871795,0.4358974358974359,0.05128205128205128,0.3076923076923077,0.0,0.10256410256410256,0.15384615384615385,0.0,0.02564102564102564
2012-12-09,0.05128205128205128,0.02564102564102564,0.08974358974358974,0.0,0.0,0.10256410256410256,0.2692307692307692,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.01282051282051282,0.2564102564102564,0.3333333333333333,0.20512820512820512,0.038461538461538464,0.358974358974359,0.0,0.23076923076923078,0.47435897435897434,0.0
2012-12-10,0.1794871794871795,0.3076923076923077,0.20512820512820512,0.15384615384615385,0.48717948717948717,0.01282051282051282,0.1794871794871795,0.01282051282051282,0.0,0.0,0.21794871794871795,0.0,0.19230769230769232,0.19230769230769232,0.05128205128205128,0.3076923076923077,0.10256410256410256,0.1794871794871795,0.11538461538461539,0.14102564102564102,0.20512820512820512,0.15384615384615385,0.0641025641025641,0.02564102564102564
2012-12-11,0.10256410256410256,0.15384615384615385,0.28205128205128205,0.20512820512820512,0.358974358974359,0.19230769230769232,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.02564102564102564,0.05128205128205128,0.01282051282051282,0.1282051282051282,0.4230769230769231,0.1282051282051282,0.23076923076923078,0.038461538461538464,0.2692307692307692,0.1282051282051282
2012-12-12,0.24358974358974358,0.05128205128205128,0.01282051282051282,0.16666666666666666,0.16666666666666666,0.46153846153846156,0.21794871794871795,0.0,0.0,0.038461538461538464,0.10256410256410256,0.05128205128205128,0.10256410256410256,0.14102564102564102,0.02564102564102564,0.34615384615384615,0.21794871794871795,0.0641025641025641,0.0,0.01282051282051282,0.0,0.01282051282051282,0.0,0.0641025641025641
2012-12-13,0.08974358974358974,0.1794871794871795,0.14102564102564102,0.10256410256410256,0.19230769230769232,0.2692307692307692,0.01282051282051282,0.0,0.0,0.0,0.0,0.1794871794871795,0.0,0.20512820512820512,0.10256410256410256,0.2692307692307692,0.1794871794871795,0.05128205128205128,0.2564102564102564,0.1282051282051282,0.0,0.2564102564102564,0.14102564102564102,0.1794871794871795
2012-12-14,0.08974358974358974,0.0641025641025641,0.4358974358974359,0.21794871794871795,0.1282051282051282,0.6538461538461539,0.0,0.10256410256410256,0.14102564102564102,0.0641025641025641,0.21794871794871795,0.0,0.21794871794871795,0.20512820512820512,0.1282051282051282,0.358974358974359,0.2564102564102564,0.24358974358974358,0.1794871794871795,0.038461538461538464,0.2564102564102564,0.0,0.19230769230769232,0.05128205128205128
2012-12-15,0.32051282051282054,0.15384615384615385,0.0641025641025641,0.2948717948717949,0.0,0.47435897435897434,0.3717948717948718,0.0,0.01282051282051282,0.0,0.07692307692307693,0.11538461538461539,0.15384615384615385,0.07692307692307693,0.19230769230769232,0.2564102564102564,0.11538461538461539,0.2692307692307692,0.2564102564102564,0.01282051282051282,0.24358974358974358,0.0,0.28205128205128205,0.1794871794871795
