,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11
2013-08-01,0.019417475728155338,0.06796116504854369,0.019417475728155338,0.009708737864077669,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.009708737864077669
2013-08-02,0.08737864077669903,0.06796116504854369,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0970873786407767
2013-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-05,0.0,0.009708737864077669,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.038834951456310676,0.06796116504854369,0.0,0.0
2013-08-06,0.009708737864077669,0.02912621359223301,0.05825242718446602,0.0,0.0,0.0,0.019417475728155338,0.0,0.0,0.0,0.0,0.009708737864077669
2013-08-07,0.07766990291262135,0.038834951456310676,0.009708737864077669,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.009708737864077669
2013-08-08,0.0,0.07766990291262135,0.0,0.0,0.0,0.0,0.019417475728155338,0.0,0.0,0.0,0.0,0.009708737864077669
2013-08-09,0.02912621359223301,0.17475728155339806,0.18446601941747573,0.0,0.0,0.0,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0,0.0,0.0
2013-08-10,0.22330097087378642,0.10679611650485436,0.0970873786407767,0.0,0.0,0.0,0.0,0.019417475728155338,0.13592233009708737,0.04854368932038835,0.08737864077669903,0.02912621359223301
2013-08-11,0.0,0.1941747572815534,0.13592233009708737,0.019417475728155338,0.0,0.0,0.0,0.009708737864077669,0.038834951456310676,0.05825242718446602,0.05825242718446602,0.009708737864077669
2013-08-12,0.11650485436893204,0.05825242718446602,0.2912621359223301,0.0,0.0,0.0,0.019417475728155338,0.019417475728155338,0.02912621359223301,0.06796116504854369,0.0,0.02912621359223301
2013-08-13,0.14563106796116504,0.07766990291262135,0.1650485436893204,0.0,0.0,0.0,0.019417475728155338,0.038834951456310676,0.009708737864077669,0.0,0.0,0.009708737864077669
2013-08-14,0.019417475728155338,0.1650485436893204,0.08737864077669903,0.0970873786407767,0.0,0.0,0.019417475728155338,0.009708737864077669,0.019417475728155338,0.0,0.0,0.009708737864077669
2013-08-15,0.1650485436893204,0.05825242718446602,0.20388349514563106,0.0,0.0,0.0,0.009708737864077669,0.0,0.019417475728155338,0.02912621359223301,0.0,0.06796116504854369
2013-08-16,0.14563106796116504,0.06796116504854369,0.21359223300970873,0.0,0.0,0.0,0.0,0.06796116504854369,0.06796116504854369,0.0,0.0,0.0
2013-08-17,0.0,0.13592233009708737,0.1262135922330097,0.0,0.0,0.0,0.0,0.0,0.038834951456310676,0.009708737864077669,0.0,0.038834951456310676
2013-08-18,0.10679611650485436,0.038834951456310676,0.1941747572815534,0.0,0.0,0.0,0.0,0.0,0.0,0.05825242718446602,0.019417475728155338,0.009708737864077669
2013-08-19,0.1553398058252427,0.17475728155339806,0.1650485436893204,0.0,0.0,0.0,0.0,0.038834951456310676,0.0,0.019417475728155338,0.11650485436893204,0.02912621359223301
2013-08-20,0.04854368932038835,0.24271844660194175,0.07766990291262135,0.0,0.0,0.0,0.019417475728155338,0.038834951456310676,0.13592233009708737,0.019417475728155338,0.02912621359223301,0.07766990291262135
2013-08-21,0.1650485436893204,0.17475728155339806,0.07766990291262135,0.009708737864077669,0.0,0.0,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0,0.0,0.019417475728155338
2013-08-22,0.019417475728155338,0.1650485436893204,0.0970873786407767,0.0,0.0,0.0,0.009708737864077669,0.019417475728155338,0.0,0.009708737864077669,0.0,0.04854368932038835
2013-08-23,0.11650485436893204,0.05825242718446602,0.11650485436893204,0.0,0.0,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0,0.009708737864077669,0.0,0.019417475728155338
2013-08-24,0.019417475728155338,0.18446601941747573,0.14563106796116504,0.0,0.0,0.0,0.0,0.009708737864077669,0.02912621359223301,0.1262135922330097,0.019417475728155338,0.0
2013-08-25,0.04854368932038835,0.06796116504854369,0.20388349514563106,0.0,0.0,0.0,0.0,0.009708737864077669,0.07766990291262135,0.17475728155339806,0.04854368932038835,0.05825242718446602
2013-08-26,0.10679611650485436,0.0,0.0970873786407767,0.0970873786407767,0.0,0.0,0.019417475728155338,0.038834951456310676,0.0,0.038834951456310676,0.0,0.1262135922330097
2013-08-27,0.10679611650485436,0.2815533980582524,0.009708737864077669,0.0,0.0,0.0,0.019417475728155338,0.019417475728155338,0.0,0.0,0.009708737864077669,0.0
2013-08-28,0.17475728155339806,0.0,0.10679611650485436,0.06796116504854369,0.0,0.0,0.009708737864077669,0.06796116504854369,0.0,0.0,0.019417475728155338,0.2621359223300971
2013-08-29,0.18446601941747573,0.13592233009708737,0.11650485436893204,0.038834951456310676,0.0,0.0,0.0,0.02912621359223301,0.038834951456310676,0.009708737864077669,0.0,0.019417475728155338
2013-08-30,0.10679611650485436,0.14563106796116504,0.13592233009708737,0.009708737864077669,0.0,0.0,0.0,0.038834951456310676,0.08737864077669903,0.07766990291262135,0.0,0.009708737864077669
2013-08-31,0.0,0.07766990291262135,0.1262135922330097,0.0,0.0,0.0,0.0,0.0,0.04854368932038835,0.0,0.0,0.0
2013-09-01,0.0,0.13592233009708737,0.14563106796116504,0.0,0.0,0.0,0.0,0.038834951456310676,0.0970873786407767,0.20388349514563106,0.02912621359223301,0.0
2013-09-02,0.13592233009708737,0.21359223300970873,0.038834951456310676,0.0,0.0,0.0,0.0,0.009708737864077669,0.04854368932038835,0.0,0.02912621359223301,0.02912621359223301
2013-09-03,0.0970873786407767,0.08737864077669903,0.1650485436893204,0.0,0.0,0.0,0.019417475728155338,0.04854368932038835,0.0,0.009708737864077669,0.0,0.009708737864077669
2013-09-04,0.18446601941747573,0.20388349514563106,0.02912621359223301,0.0,0.0,0.0,0.019417475728155338,0.05825242718446602,0.0,0.0,0.009708737864077669,0.009708737864077669
2013-09-05,0.22330097087378642,0.02912621359223301,0.1650485436893204,0.009708737864077669,0.0,0.0,0.009708737864077669,0.02912621359223301,0.019417475728155338,0.0,0.1650485436893204,0.0
2013-09-06,0.019417475728155338,0.11650485436893204,0.2524271844660194,0.0,0.0,0.0,0.019417475728155338,0.04854368932038835,0.0,0.0,0.0,0.019417475728155338
2013-09-07,0.009708737864077669,0.07766990291262135,0.24271844660194175,0.0,0.0,0.0,0.0,0.009708737864077669,0.14563106796116504,0.019417475728155338,0.0,0.23300970873786409
