F1,SI,JI,IC_av,cluster count,segment,stream,size
,,,"[3.4816502059059586, 3.4816502059059586]",1,1,-,5
,,,"[3.0889006911334618, 3.0889006911334618]",1,2,-,5
,,,"[5.555514490071457, 5.555514490071457]",1,3,-,5
,,,"[7.616692601562549, 7.616692601562549]",1,4,-,5
,,,"[4.615413494541846, 4.615413494541846]",1,5,-,5
,,,"[4.2396655404271515, 4.2396655404271515]",1,6,-,5
,,,"[3.2093958219637515, 3.2093958219637515]",1,7,-,5
,,,"[3.6838252185251625, 3.6838252185251625]",1,8,-,5
,,,"[6.336840447723784, 6.336840447723784]",1,9,-,5
,,,"[10.172382277749914, 10.172382277749914]",1,10,-,5
,,,"[9.81409240058195, 9.81409240058195]",1,11,-,5
