closed cluster high,closed cluster low,closed cluster mean,closed cluster label,closed cluster segment,closed cluster stream,cluster high,cluster low,cluster mean,cluster label,cluster segment,cluster stream,window high,window low,window mean,window segment,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels),merge a cluster with a window,merge a window with a cluster,index
[0.48135116 0.48627727 0.49964814 0.52146376 0.45460943 0.44053483],[0.19071077 0.1583392  0.21534131 0.28149191 0.24067558 0.17171006],[0.33603096 0.32230823 0.35749472 0.40147783 0.34764251 0.30612245],-1.0,3.0,9.0,[0.58902182 0.59887403 0.60380014 0.64672766 0.64883885 0.57987333],[0.36242083 0.34834624 0.39760732 0.39971851 0.40605208 0.39549613],[0.47572132 0.47361013 0.50070373 0.52322308 0.52744546 0.48768473],2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0.36242083 0.36242083 0.42364532 0.46375792 0.43701619 0.34482759],[0.25826882 0.23926812 0.25263899 0.29767769 0.28008445 0.25615764],[0.31034483 0.30084448 0.33814215 0.3807178  0.35855032 0.30049261],-1.0,11.0,False,True,[],[],False,False,218
,,,,,,[0.50809289 0.50246305 0.40957072 0.44405348 0.44123856 0.36312456],[0.50809289 0.50246305 0.40957072 0.44405348 0.44123856 0.36312456],[0.50809289 0.50246305 0.40957072 0.44405348 0.44123856 0.36312456],0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,218
,,,,,,[0.5200563  0.52920479 0.53976073 0.59324419 0.58409571 0.55242787],[0.27304715 0.24841661 0.32793807 0.37227305 0.35679099 0.30401126],[0.39655172 0.3888107  0.4338494  0.48275862 0.47044335 0.42821956],1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,218
,,,,,,[0.63687544 0.62491203 0.75369458 0.76425053 0.76213934 0.69247009],[0.35256861 0.37508797 0.53342716 0.57142857 0.56228008 0.49120338],[0.49472203 0.5        0.64356087 0.66783955 0.66220971 0.59183673],4,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,218
,,,,,,[0.63546798 0.64250528 0.67346939 0.74806474 0.6973962  0.65306122],[0.4137931  0.40957072 0.51442646 0.50809289 0.50950035 0.48627727],[0.52463054 0.526038   0.59394792 0.62807882 0.60344828 0.56966925],3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,218
,,,,,,[0.75017593 0.74102745 0.85362421 0.91695989 0.94370162 0.82054891],[0.50950035 0.4940183  0.59957776 0.62209711 0.60239268 0.56368754],[0.62983814 0.61752287 0.72660099 0.7695285  0.77304715 0.69211823],5,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,218
,,,,,,[0.79802956 0.79099226 0.93807178 1.         0.97044335 0.87403237],[0.75017593 0.73117523 0.84236453 0.87262491 0.78114004 0.75299085],[0.77410274 0.76108374 0.89021816 0.93631246 0.8757917  0.81351161],6,-1,2,,,,,,,,,,,,218
,,,,,,[0.77339901 0.7825475  0.86558761 0.95425757 0.97114708 0.81421534],[0.67769177 0.66220971 0.75791696 0.78465869 0.76917664 0.73610134],[0.72554539 0.72237861 0.81175229 0.86945813 0.87016186 0.77515834],7,-1,2,,,,,,,,,,,,218
,,,,,,[0.77480647 0.76425053 0.82828994 0.89655172 0.9007741  0.80928923],[0.6122449  0.61365236 0.67769177 0.77339901 0.76565799 0.69669247],[0.69352569 0.68895144 0.75299085 0.83497537 0.83321605 0.75299085],8,-1,2,,,,,,,,,,,,218
,,,,,,[0.48135116 0.48627727 0.49964814 0.52146376 0.45460943 0.44053483],[0.19071077 0.1583392  0.21534131 0.28149191 0.24067558 0.17171006],[0.33603096 0.32230823 0.35749472 0.40147783 0.34764251 0.30612245],9,-1,3,,,,,,,,,,,,218
,,,,,,[0.29275158 0.28641802 0.31175229 0.40394089 0.36805067 0.37016186],[0.18226601 0.16045039 0.21815623 0.2505278  0.24208304 0.17593244],[0.2375088  0.2234342  0.26495426 0.32723434 0.30506685 0.27304715],10,-1,4,,,,,,,,,,,,218
,,,,,,[0.23574947 0.23152709 0.2434905  0.29767769 0.29204785 0.28008445],[0.10063336 0.04855735 0.15270936 0.23856439 0.18930331 0.14989444],[0.16819141 0.14004222 0.19809993 0.26812104 0.24067558 0.21498944],11,-1,4,,,,,,,,,,,,218
,,,,,,[0.17100633 0.18789585 0.19845179 0.30119634 0.22871217 0.21323012],[0.03166784 0.         0.06966925 0.18156228 0.11611541 0.04292752],[0.10133709 0.09394792 0.13406052 0.24137931 0.17241379 0.12807882],12,-1,10,,,,,,,,,,,,218
