0,1,2,3,4,5,6,7,8,9,cluster
2959,7,17,309,17,2015,197,204,141,2953,2
2962,345,16,295,20,1994,186,212,164,2925,2
2964,352,14,283,31,1974,195,215,157,2897,2
2964,2,12,268,32,1953,203,216,151,2869,2
2964,7,10,255,32,1933,208,220,149,2841,2
2963,9,8,234,35,1913,211,224,150,2813,2
2963,26,6,212,35,1894,217,227,146,2785,2
2961,67,8,192,33,1874,228,224,129,2758,2
2955,83,12,175,27,1855,237,219,112,2730,2
2948,85,13,162,20,1837,239,217,106,2702,2
2940,81,14,153,12,1818,238,215,106,2675,2
2933,73,13,150,5,1800,235,215,110,2647,2
2927,55,10,150,0,1782,226,220,127,2620,2
2925,26,7,150,-2,1765,217,225,144,2592,2
2924,16,7,150,-3,1747,214,226,148,2565,2
2923,22,7,150,-4,1731,216,225,146,2537,2
2921,27,7,150,-6,1714,218,225,144,2510,2
2920,27,6,150,-4,1698,217,226,145,2483,2
2918,37,7,150,-2,1682,220,224,140,2456,2
2915,45,8,150,-6,1667,223,223,135,2429,2
2912,40,7,150,-10,1652,221,224,138,2402,2
2910,34,7,150,-11,1638,219,224,141,2375,2
2908,20,7,150,-11,1624,215,225,147,2348,2
2908,358,7,150,-8,1610,209,227,156,2321,2
2909,344,8,153,-2,1597,205,228,162,2294,2
2911,346,7,162,5,1584,207,229,161,2268,2
2911,15,7,175,13,1572,214,226,149,2241,2
2909,43,8,190,20,1560,222,223,136,2215,2
2905,59,10,201,24,1549,228,220,125,2188,2
2900,63,11,216,19,1538,230,218,121,2162,2
2895,65,11,228,18,1528,230,218,119,2136,2
2889,70,13,228,60,1518,233,214,111,2110,2
2882,73,14,218,53,1509,236,213,105,2084,2
2875,73,13,212,46,1500,235,214,108,2058,2
2869,71,12,201,40,1492,233,216,113,2032,2
2863,67,10,190,34,1484,231,219,120,2007,2
2859,73,9,182,30,1477,231,223,124,1981,2
2854,89,10,180,25,1471,235,224,120,1956,2
2848,100,11,175,52,1465,238,225,116,1931,2
2842,104,14,162,51,1460,242,222,107,1905,2
2834,104,16,150,41,1455,245,218,97,1880,2
2825,104,17,127,32,1451,247,216,92,1856,2
2816,103,18,108,32,1448,247,214,89,1831,2
2806,106,18,85,22,1445,248,215,89,1806,2
2797,109,18,67,13,1443,248,217,90,1782,2
2787,111,18,60,16,1441,248,218,92,1758,2
2778,113,16,30,7,1440,245,222,101,1734,5
2771,111,11,0,0,1440,240,228,117,1710,5
2767,94,7,0,0,1440,232,229,130,1687,5
2764,67,6,0,0,1440,227,228,135,1663,5
2761,48,6,30,-1,1441,223,227,140,1640,1
2759,33,7,30,0,1443,219,226,143,1617,1
2757,27,8,30,0,1445,217,223,142,1595,1
2755,20,9,42,0,1448,214,221,143,1572,1
2754,9,10,60,0,1451,209,221,149,1550,1
2754,3,10,60,2,1455,206,220,152,1528,1
2754,6,12,60,5,1460,205,217,148,1506,1
2753,8,13,60,6,1465,204,213,145,1485,1
2752,6,15,60,7,1471,201,210,145,1464,1
2751,11,16,60,8,1477,202,206,139,1443,1
2748,18,16,60,7,1484,206,204,132,1423,1
2745,22,15,60,6,1492,209,207,131,1403,1
2742,22,13,60,5,1500,212,212,135,1383,1
2740,13,11,60,4,1509,210,218,145,1364,1
2740,5,10,67,5,1518,207,220,150,1345,1
2740,8,11,85,7,1528,207,218,147,1326,1
2739,18,12,90,4,1538,211,215,139,1308,5
2733,18,11,90,6,1560,211,217,142,1273,5
2735,330,13,108,17,1584,189,224,174,1240,5
2739,323,15,124,23,1597,181,224,182,1224,5
2745,321,16,134,29,1610,177,222,185,1209,5
2750,323,17,150,37,1624,175,221,184,1195,5
2756,327,17,162,44,1638,177,219,180,1181,5
2760,333,17,175,47,1652,180,216,175,1167,5
2765,2,15,201,55,1682,197,209,148,1142,5
2763,20,17,216,53,1698,207,203,129,1131,2
2758,32,18,234,52,1714,212,197,114,1120,2
2752,35,19,255,50,1731,214,195,109,1110,2
2746,37,20,255,81,1747,216,193,105,1101,2
2739,39,20,234,74,1765,217,192,103,1092,2
2732,41,20,216,67,1782,218,193,102,1084,2
2725,46,20,201,60,1798,222,193,98,1077,2
2717,49,20,190,53,1811,224,194,96,1071,2
2709,50,19,182,45,1825,225,195,96,1065,2
2701,52,20,170,40,1838,226,193,93,1061,2
2692,49,18,150,31,1842,225,197,100,1057,2
2686,46,16,127,26,1839,223,203,109,1054,2
2680,53,17,108,20,1836,227,203,104,1052,2
2672,60,17,85,16,1834,231,202,97,1050,2
2663,62,16,67,7,1832,232,206,102,1050,2
2656,58,12,60,0,1831,228,214,117,1050,2
2652,47,8,42,2,1830,223,223,135,1052,2
2650,34,3,30,0,1830,219,232,149,1054,1
2649,135,0,0,0,1830,219,238,156,1057,1
2649,180,4,0,0,1830,221,242,156,1061,1
2649,180,9,0,0,1830,224,246,155,1065,1
2649,179,13,30,0,1825,225,247,152,1071,1
2649,183,16,30,4,1820,223,249,154,1077,1
2650,191,18,42,7,1816,217,251,162,1084,1
2653,198,19,60,10,1812,210,253,169,1092,2
2657,204,22,67,16,1809,203,254,177,1101,2
2663,212,26,85,23,1806,189,253,188,1110,2
2673,216,30,95,33,1804,175,251,195,1120,2
2684,215,33,108,46,1802,170,249,195,1131,2
2695,212,35,127,57,1801,169,247,191,1142,2
2706,211,36,150,68,1800,167,245,188,1155,2
2717,210,37,170,85,1800,167,244,187,1167,2
2728,208,36,192,96,1800,170,244,183,1181,2
2738,202,36,212,119,1800,180,244,172,1195,2
2744,195,35,228,125,1800,189,243,161,1209,2
2749,193,35,242,130,1800,193,242,156,1224,2
2753,193,34,247,134,1800,195,243,156,1240,2
2758,192,34,256,137,1800,196,243,156,1256,2
2762,188,32,268,139,1800,204,243,149,1273,2
2763,182,31,272,140,1800,213,241,139,1290,2
2763,175,30,277,141,1800,221,239,128,1308,2
2760,169,29,285,140,1800,227,237,120,1326,2
2757,164,29,295,138,1800,232,234,112,1345,2
2751,159,28,300,132,1800,236,231,105,1364,2
2745,161,28,300,128,1800,235,233,110,1383,2
2741,169,27,301,126,1801,229,239,123,1403,2
2739,179,26,306,126,1802,220,244,140,1423,2
2740,194,26,313,131,1798,206,250,163,1443,2
2746,204,27,323,137,1784,194,252,178,1464,2
2753,200,26,335,144,1771,200,252,172,1485,2
2756,189,25,342,148,1758,212,249,156,1506,2
2757,180,25,351,149,1745,220,246,143,1507,2
2756,176,25,362,148,1733,224,244,137,1482,2
2755,180,25,376,148,1722,220,246,143,1456,2
2756,189,25,390,146,1710,212,249,156,1431,2
2759,198,26,402,149,1699,202,251,170,1406,2
2765,203,27,417,157,1689,196,252,176,1381,2
2771,200,26,433,162,1679,199,252,173,1357,2
2775,196,25,450,164,1670,206,251,166,1332,2
2778,194,23,446,17,1661,210,251,164,1308,2
2781,192,21,437,20,1651,213,251,162,1284,2
2783,185,19,430,22,1639,220,250,155,1260,2
2783,177,18,424,22,1627,226,247,147,1237,2
2782,170,17,421,21,1616,230,245,140,1214,2
2780,162,16,420,19,1605,234,242,135,1191,3
2777,152,15,420,16,1594,237,239,128,1168,3
2773,143,14,420,12,1584,240,236,122,1146,3
2768,139,13,420,7,1575,239,236,124,1124,3
2764,132,12,420,3,1566,239,234,123,1103,2
2759,118,13,420,-1,1558,241,228,115,1082,2
2752,108,14,420,-8,1550,243,223,106,1062,2
2737,100,14,420,-23,1536,242,220,105,1022,3
2730,102,15,420,-30,1530,243,220,102,1003,3
2722,108,15,418,19,1524,245,221,101,984,3
2714,117,15,390,18,1519,245,225,105,966,3
2707,129,16,362,11,1515,244,229,109,949,3
2701,137,16,335,14,1511,243,233,114,932,3
2696,135,16,309,12,1505,244,231,112,916,3
2689,125,17,283,5,1486,246,226,103,900,3
2681,120,16,258,1,1465,246,224,102,886,3
2673,130,14,234,-1,1445,243,231,114,872,3
2669,148,14,212,-1,1425,238,238,126,859,3
2666,156,17,192,-4,1403,237,240,128,847,3
2662,158,17,170,-1,1380,236,240,128,836,3
2659,160,16,150,-4,1358,235,242,132,825,3
2656,158,15,127,-1,1337,235,241,133,816,3
2653,148,15,108,-4,1315,238,238,125,808,3
2648,142,16,85,0,1291,241,235,118,800,3
2643,139,17,67,-5,1266,243,232,112,794,3
2636,138,18,42,13,1240,244,231,109,789,3
2632,215,8,30,0,1165,213,248,171,781,3
2634,173,4,90,-5,1116,222,241,155,781,3
2633,157,2,120,-6,1092,221,239,154,782,3
2633,315,1,150,-6,1068,216,237,159,785,3
2634,315,4,180,-5,1045,210,236,165,789,5
2637,332,5,240,-2,999,209,234,163,800,5
2638,349,5,270,-1,977,211,232,159,808,5
2638,358,6,300,-1,955,211,229,156,816,3
2638,11,7,330,-1,933,213,225,150,825,3
2633,38,11,390,-6,892,220,216,129,847,3
2629,23,11,420,-10,872,214,217,138,859,3
2628,1,11,450,-11,853,205,220,152,872,3
2629,347,11,480,-10,834,198,222,162,886,3
2631,338,12,503,103,816,194,223,168,900,3
2634,333,12,495,106,799,192,225,171,916,3
2637,336,11,488,109,782,194,225,169,932,3
2639,343,11,484,111,767,199,224,164,949,3
2640,337,10,481,112,752,197,225,167,966,3
2643,329,11,480,115,738,194,227,172,984,3
2646,333,10,481,118,725,198,228,169,1003,3
2648,340,8,484,120,713,204,229,164,1022,3
2649,349,5,474,96,693,211,232,159,1062,3
2650,357,4,458,97,684,213,232,157,1082,3
2650,0,4,443,97,677,214,232,156,1103,3
2650,340,5,418,97,666,210,233,162,1146,3
2652,318,6,408,99,663,205,235,169,1168,3
2655,307,5,400,102,661,207,237,169,1191,3
2656,315,2,390,108,649,214,237,161,1214,3
2656,45,1,379,108,624,219,235,153,1237,3
2655,31,3,371,107,600,219,233,151,1260,3
2654,16,3,365,106,576,217,232,153,1284,3
2654,40,4,361,106,553,220,231,148,1308,3
2652,50,4,351,104,531,221,231,146,1332,3
2651,15,3,342,103,509,217,233,154,1357,3
2651,0,3,335,103,488,215,233,156,1381,3
2651,17,5,331,118,469,216,229,151,1406,3
2650,38,8,309,117,450,220,222,136,1431,3
2639,56,18,256,103,417,229,200,98,1482,6
2630,59,22,228,93,402,231,189,80,1507,6
2618,61,25,201,81,390,231,180,67,1533,6
2605,61,26,175,68,379,231,176,62,1559,6
2592,59,25,150,56,371,230,178,66,1585,6
2580,58,24,127,44,365,229,182,73,1611,6
2558,56,22,85,25,360,228,187,81,1663,6
2548,56,21,67,15,361,228,191,87,1645,6
2539,56,19,42,11,365,229,197,95,1626,6
2531,55,16,30,3,371,229,203,103,1608,6
2518,58,10,30,-3,361,228,218,123,1573,6
2515,72,8,30,-2,339,229,226,130,1556,6
2508,61,5,30,-4,300,224,229,141,1523,6
2507,24,6,42,-1,283,217,227,147,1507,6
2506,14,8,60,-5,268,213,224,148,1492,6
2505,11,10,60,0,256,210,221,147,1477,6
2504,11,11,60,2,242,208,217,145,1463,6
2503,14,12,60,4,228,208,214,141,1449,6
2501,22,13,42,8,218,212,212,135,1436,6
2497,33,13,30,4,212,217,212,128,1423,6
2493,45,10,30,0,210,223,217,128,1410,6
2489,72,7,0,0,210,228,227,133,1398,6
3461,52,27,95,24,3333,223,173,68,2634,7
3450,53,24,67,13,3340,225,180,75,2605,7
3439,54,24,42,2,3347,226,181,75,2576,7
3428,54,26,30,-8,3355,225,176,69,2547,7
3415,54,27,30,12,3363,224,172,65,2518,7
3403,50,24,0,0,3371,223,180,78,2489,7
3395,41,19,0,0,3379,219,194,103,2460,7
3390,32,16,0,0,3388,215,204,122,2431,7
3386,26,13,30,3,3397,213,211,131,2402,7
3383,29,12,60,6,3406,216,213,132,2374,7
3380,31,11,85,6,3415,217,217,134,2345,7
3378,7,8,108,9,3425,211,225,151,2316,7
3379,333,6,134,16,3435,205,232,165,2287,7
3381,354,2,190,26,3455,215,235,157,2230,7
3381,336,3,218,26,3466,213,235,160,2201,7
3380,220,21,395,125,3581,191,254,193,725,1
3385,207,19,400,130,3551,204,254,178,738,1
3388,199,19,408,133,3522,210,253,170,752,1
3391,201,21,418,136,3492,207,253,173,751,1
3396,208,22,430,141,3462,198,254,181,750,1
3403,216,25,443,148,3433,187,254,193,751,1
3413,226,27,457,158,3403,173,253,206,752,1
3425,235,29,470,170,3373,159,250,217,755,1
3440,239,30,484,185,3344,151,248,223,760,1
3455,240,30,497,200,3314,151,248,223,765,1
3677,218,5,957,422,2665,214,245,168,1104,1
3675,97,10,983,420,2636,236,226,120,1126,1
3667,91,18,1008,412,2607,245,208,85,1149,1
3655,95,23,1034,400,2577,249,199,66,1172,1
3641,100,24,1048,356,2548,251,199,62,1195,1
3628,103,25,1019,343,2519,252,200,61,1218,1
3615,105,26,990,330,2489,253,197,54,1242,1
3599,105,29,960,314,2460,254,190,43,1266,1
3582,105,30,931,297,2431,254,187,38,1290,1
3565,103,29,902,280,2401,253,188,41,1315,1
3549,101,28,874,264,2372,253,190,46,1340,1
3534,100,27,845,249,2343,252,193,51,1365,1
3520,102,23,816,235,2314,251,202,66,1390,1
3509,106,19,787,224,2285,248,214,86,1415,1
3500,108,16,759,215,2256,246,220,98,1441,1
3493,102,15,731,208,2226,243,220,102,1466,1
3485,86,18,702,200,2197,244,207,86,1492,1
3473,77,24,674,188,2168,242,188,63,1518,1
3459,73,26,646,174,2139,240,180,54,1544,1
3444,71,24,618,159,2110,238,185,63,1571,1
3433,70,23,591,148,2081,238,189,70,1597,1
3420,72,25,564,135,2052,239,183,60,1624,1
3406,72,26,537,121,2023,238,180,57,1650,1
3392,71,26,510,107,1994,238,181,58,1677,1
3378,73,24,484,93,1965,240,188,66,1704,1
3366,78,19,458,81,1935,241,202,84,1731,1
3358,86,15,433,73,1905,241,214,99,1758,1
3351,94,13,408,66,1875,240,221,109,1785,1
3345,95,10,384,60,1846,237,225,118,1812,1
3340,92,8,361,55,1816,233,227,126,1840,1
3336,88,8,339,51,1786,233,227,126,1867,1
3331,84,9,319,46,1756,233,225,123,1895,1
3327,81,9,300,42,1727,233,224,123,1922,1
3322,87,9,283,37,1697,234,225,123,1950,1
3317,94,11,268,32,1667,238,223,115,1978,1
3310,90,14,256,25,1638,241,216,101,2006,1
3302,86,19,247,17,1608,244,204,81,2033,1
3289,85,22,242,4,1578,245,198,71,2012,1
3277,81,17,240,-7,1549,241,208,92,1986,1
3271,70,11,240,-13,1519,232,218,117,1959,1
3267,65,11,242,-17,1489,230,218,119,1932,1
3261,64,13,247,-23,1460,232,213,111,1906,1
3255,65,14,256,-29,1430,232,211,109,1879,1
3248,70,13,268,-36,1401,234,214,109,1853,1
3242,80,12,270,-42,1371,236,218,111,1827,1
3235,89,11,268,39,1342,237,222,115,1801,1
3230,94,10,256,34,1312,236,225,119,1775,1
