0,1,2,3,4,5,6,7,8,9,cluster,timestamps
2983,335,11,150,38,484,195,225,169,914,2,464811
2984,347,13,175,36,514,196,219,162,937,2,464812
2986,338,15,175,22,543,187,218,170,960,2,464813
2988,324,15,162,24,573,181,223,181,984,2,464814
2995,330,12,153,31,603,192,226,173,1008,2,464815
2994,353,10,150,30,633,203,222,158,1032,2,464816
2996,345,12,150,32,663,196,221,163,1057,2,464817
2998,339,13,150,12,693,191,221,168,1082,2,464818
3001,338,13,134,15,722,191,221,169,1107,2,464819
3003,340,12,124,17,752,195,223,166,1132,2,464820
3005,343,10,120,19,782,200,225,163,1158,2,464821
3006,347,8,120,6,812,204,227,161,1183,2,464822
3007,339,8,108,7,842,203,228,164,1209,2,464823
3009,328,9,95,9,872,198,230,171,1235,2,464824
3012,318,11,85,0,902,190,230,179,1262,2,464825
3017,315,13,67,5,924,186,229,183,1288,2,464826
3022,317,12,60,10,918,188,230,181,1315,2,464827
3026,326,10,60,14,912,195,229,173,1342,2,464828
3028,342,9,42,4,908,202,227,164,1369,2,464829
3029,354,9,30,5,904,206,225,158,1396,2,464830
3029,5,8,30,5,902,210,224,152,1423,2,464831
3028,12,8,0,0,900,212,224,149,1450,2,464832
3027,16,8,0,0,900,214,224,147,1477,1,464833
3026,16,7,0,0,900,214,226,148,1505,1,464834
3025,13,6,30,0,900,214,227,150,1532,1,464835
3024,9,6,30,-3,900,213,227,152,1560,1,464836
3024,11,6,42,-3,900,214,228,151,1588,1,464837
3023,17,6,60,-4,900,215,228,150,1616,1,464838
3022,10,5,67,-8,892,214,229,152,1643,1,464839
3022,5,5,85,-7,872,213,230,154,1671,1,464840
3022,0,5,95,-7,850,212,230,156,1699,1,464841
3022,353,6,108,-9,825,210,230,158,1728,1,464842
3178,162,15,589,137,792,234,242,135,1463,2,464843
3172,136,14,560,131,811,241,234,118,1477,2,464844
3165,115,15,532,124,830,245,224,104,1492,2,464845
3155,104,16,503,114,842,245,218,97,1500,2,464846
3149,104,14,474,108,841,243,221,104,1509,2,464847
3142,112,12,446,101,840,240,227,115,1518,2,464848
3138,135,8,418,94,840,233,237,135,1528,2,464849
3137,131,10,390,96,840,237,235,127,1538,2,464850
3129,117,17,362,88,840,246,222,99,1549,2,464851
3121,111,16,335,80,840,246,221,98,1560,2,464852
3113,106,14,309,72,840,243,223,107,1572,2,464853
3108,112,11,283,67,836,239,228,119,1584,2,464854
3103,114,13,256,60,825,242,227,112,1597,2,464855
3096,108,11,228,46,811,239,227,118,1610,2,464856
3093,68,5,201,36,787,225,230,139,1624,2,464857
3091,59,10,175,34,765,228,219,124,1638,1,464858
3083,62,12,150,24,743,230,215,115,1652,1,464859
3078,56,11,127,19,721,227,218,123,1667,1,464860
3074,56,10,108,15,700,227,218,124,1682,1,464861
3070,62,9,85,7,679,228,221,126,1698,1,464862
3066,69,9,67,3,658,230,222,125,1708,1,464863
3059,24,3,60,-3,636,218,233,152,1679,1,464864
3062,272,7,67,0,616,202,242,179,1651,1,464865
3068,247,10,85,5,595,200,248,186,1622,1,464866
3074,242,17,108,15,576,186,251,201,1594,2,464867
3084,238,17,134,25,558,186,252,201,1566,2,464868
3089,231,16,162,30,541,193,253,194,1538,2,464869
3096,219,16,190,37,525,201,253,185,1510,2,464870
3101,186,15,218,42,510,221,250,158,1482,2,464871
3098,177,18,247,39,497,226,247,147,1454,2,464872
3099,183,18,277,40,485,222,249,153,1426,2,464873
3100,189,16,306,41,474,219,250,160,1398,2,464874
