0,1,2,3,4,5,6,7,8,9,cluster,timestamps
2959,7,17,309,17,2015,197,204,141,2953,2,348609
2962,345,16,295,20,1994,186,212,164,2925,2,348610
2964,352,14,283,31,1974,195,215,157,2897,2,348611
2964,2,12,268,32,1953,203,216,151,2869,2,348612
2964,7,10,255,32,1933,208,220,149,2841,2,348613
2963,9,8,234,35,1913,211,224,150,2813,2,348614
2963,26,6,212,35,1894,217,227,146,2785,2,348615
2961,67,8,192,33,1874,228,224,129,2758,2,348616
2955,83,12,175,27,1855,237,219,112,2730,2,348617
2948,85,13,162,20,1837,239,217,106,2702,2,348618
2940,81,14,153,12,1818,238,215,106,2675,2,348619
2933,73,13,150,5,1800,235,215,110,2647,2,348620
2927,55,10,150,0,1782,226,220,127,2620,2,348621
2925,26,7,150,-2,1765,217,225,144,2592,2,348622
2924,16,7,150,-3,1747,214,226,148,2565,2,348623
2923,22,7,150,-4,1731,216,225,146,2537,2,348624
2921,27,7,150,-6,1714,218,225,144,2510,2,348625
2920,27,6,150,-4,1698,217,226,145,2483,2,348626
2918,37,7,150,-2,1682,220,224,140,2456,2,348627
2915,45,8,150,-6,1667,223,223,135,2429,2,348628
2912,40,7,150,-10,1652,221,224,138,2402,2,348629
2910,34,7,150,-11,1638,219,224,141,2375,2,348630
2908,20,7,150,-11,1624,215,225,147,2348,2,348631
2908,358,7,150,-8,1610,209,227,156,2321,2,348632
2909,344,8,153,-2,1597,205,228,162,2294,2,348633
2911,346,7,162,5,1584,207,229,161,2268,2,348634
2911,15,7,175,13,1572,214,226,149,2241,2,348635
2909,43,8,190,20,1560,222,223,136,2215,2,348636
2905,59,10,201,24,1549,228,220,125,2188,2,348637
2900,63,11,216,19,1538,230,218,121,2162,2,348638
2895,65,11,228,18,1528,230,218,119,2136,2,348639
2889,70,13,228,60,1518,233,214,111,2110,2,348640
2882,73,14,218,53,1509,236,213,105,2084,2,348641
2875,73,13,212,46,1500,235,214,108,2058,2,348642
2869,71,12,201,40,1492,233,216,113,2032,2,348643
2863,67,10,190,34,1484,231,219,120,2007,2,348644
2859,73,9,182,30,1477,231,223,124,1981,2,348645
2854,89,10,180,25,1471,235,224,120,1956,2,348646
2848,100,11,175,52,1465,238,225,116,1931,2,348647
2842,104,14,162,51,1460,242,222,107,1905,2,348648
2834,104,16,150,41,1455,245,218,97,1880,2,348649
2825,104,17,127,32,1451,247,216,92,1856,2,348650
2816,103,18,108,32,1448,247,214,89,1831,2,348651
2806,106,18,85,22,1445,248,215,89,1806,2,348652
2797,109,18,67,13,1443,248,217,90,1782,2,348653
2787,111,18,60,16,1441,248,218,92,1758,2,348654
2778,113,16,30,7,1440,245,222,101,1734,5,348655
2771,111,11,0,0,1440,240,228,117,1710,5,348656
2767,94,7,0,0,1440,232,229,130,1687,5,348657
2764,67,6,0,0,1440,227,228,135,1663,5,348658
2761,48,6,30,-1,1441,223,227,140,1640,1,348659
2759,33,7,30,0,1443,219,226,143,1617,1,348660
2757,27,8,30,0,1445,217,223,142,1595,1,348661
2755,20,9,42,0,1448,214,221,143,1572,1,348662
2754,9,10,60,0,1451,209,221,149,1550,1,348663
2754,3,10,60,2,1455,206,220,152,1528,1,348664
2754,6,12,60,5,1460,205,217,148,1506,1,348665
2753,8,13,60,6,1465,204,213,145,1485,1,348666
2752,6,15,60,7,1471,201,210,145,1464,1,348667
2751,11,16,60,8,1477,202,206,139,1443,1,348668
2748,18,16,60,7,1484,206,204,132,1423,1,348669
2745,22,15,60,6,1492,209,207,131,1403,1,348670
2742,22,13,60,5,1500,212,212,135,1383,1,348671
2740,13,11,60,4,1509,210,218,145,1364,1,348672
2740,5,10,67,5,1518,207,220,150,1345,1,348673
2740,8,11,85,7,1528,207,218,147,1326,1,348674
2739,18,12,90,4,1538,211,215,139,1308,5,348675
2733,18,11,90,6,1560,211,217,142,1273,5,348676
2735,330,13,108,17,1584,189,224,174,1240,5,348677
2739,323,15,124,23,1597,181,224,182,1224,5,348678
2745,321,16,134,29,1610,177,222,185,1209,5,348679
2750,323,17,150,37,1624,175,221,184,1195,5,348680
2756,327,17,162,44,1638,177,219,180,1181,5,348681
2760,333,17,175,47,1652,180,216,175,1167,5,348682
2765,2,15,201,55,1682,197,209,148,1142,5,348683
2763,20,17,216,53,1698,207,203,129,1131,2,348684
2758,32,18,234,52,1714,212,197,114,1120,2,348685
2752,35,19,255,50,1731,214,195,109,1110,2,348686
2746,37,20,255,81,1747,216,193,105,1101,2,348687
2739,39,20,234,74,1765,217,192,103,1092,2,348688
2732,41,20,216,67,1782,218,193,102,1084,2,348689
2725,46,20,201,60,1798,222,193,98,1077,2,348690
2717,49,20,190,53,1811,224,194,96,1071,2,348691
2709,50,19,182,45,1825,225,195,96,1065,2,348692
2701,52,20,170,40,1838,226,193,93,1061,2,348693
2692,49,18,150,31,1842,225,197,100,1057,2,348694
2686,46,16,127,26,1839,223,203,109,1054,2,348695
2680,53,17,108,20,1836,227,203,104,1052,2,348696
2672,60,17,85,16,1834,231,202,97,1050,2,348697
2663,62,16,67,7,1832,232,206,102,1050,2,348698
2656,58,12,60,0,1831,228,214,117,1050,2,348699
2652,47,8,42,2,1830,223,223,135,1052,2,348700
2650,34,3,30,0,1830,219,232,149,1054,1,348701
2649,135,0,0,0,1830,219,238,156,1057,1,348702
2649,180,4,0,0,1830,221,242,156,1061,1,348703
2649,180,9,0,0,1830,224,246,155,1065,1,348704
2649,179,13,30,0,1825,225,247,152,1071,1,348705
2649,183,16,30,4,1820,223,249,154,1077,1,348706
2650,191,18,42,7,1816,217,251,162,1084,1,348707
2653,198,19,60,10,1812,210,253,169,1092,2,348708
2657,204,22,67,16,1809,203,254,177,1101,2,348709
2663,212,26,85,23,1806,189,253,188,1110,2,348710
2673,216,30,95,33,1804,175,251,195,1120,2,348711
2684,215,33,108,46,1802,170,249,195,1131,2,348712
2695,212,35,127,57,1801,169,247,191,1142,2,348713
