0,1,2,3,4,5,6,7,8,9,cluster,timestamps
2596,51,3,258,0,510,221,232,148,6279,5,1
2590,56,2,212,-6,390,220,235,151,6225,5,2
2804,139,9,268,65,3180,234,238,135,6121,2,3
2785,155,18,242,118,3090,238,238,122,6211,2,4
2595,45,2,153,-1,391,220,234,150,6172,5,5
2579,132,6,300,-15,67,230,237,140,6031,2,6
2606,45,7,270,5,633,222,225,138,6256,5,7
2605,49,4,234,7,573,222,230,144,6228,5,8
2617,45,9,240,56,666,223,221,133,6244,5,9
2612,59,10,247,11,636,228,219,124,6230,5,10
2612,201,4,180,51,735,218,243,161,6222,5,11
2886,151,11,371,26,5253,234,240,136,4051,2,12
2742,134,22,150,69,3215,248,224,92,6091,2,13
2609,214,7,150,46,771,213,247,170,6211,5,14
2503,157,4,67,4,674,224,240,151,5600,5,15
2495,51,7,42,2,752,224,225,137,5576,5,16
2610,259,1,120,-1,607,216,239,161,6096,5,17
2517,72,7,85,6,595,228,227,133,5607,5,18
2504,0,4,95,5,691,214,232,156,5572,5,19
2503,38,5,85,10,741,220,228,144,5555,5,20
2501,71,9,60,8,767,230,223,126,5547,5,21
2880,209,17,216,30,4986,206,253,179,4323,2,22
2768,114,23,192,82,3339,252,209,71,5972,5,23
2511,54,8,124,0,638,225,222,130,5569,5,24
2507,22,9,120,14,732,215,221,143,5534,5,25
2492,135,6,0,0,860,229,237,142,5494,5,26
2489,163,10,30,-4,849,230,243,145,5486,5,27
2962,148,16,323,23,5916,240,236,120,3395,2,28
2811,135,1,212,30,3670,220,238,154,5643,2,29
2739,117,24,127,53,3281,253,210,71,6033,5,30
2703,122,30,67,27,3191,254,201,52,6123,5,31
2522,105,7,120,1,595,233,231,130,5569,5,32
2519,102,6,124,4,616,230,233,137,5559,5,33
2516,23,6,150,4,658,216,227,147,5541,5,34
2515,41,9,162,4,680,221,220,133,5532,5,35
2900,45,19,242,20,5199,221,195,100,4115,2,36
2709,125,28,67,23,3224,253,207,61,6094,5,37
2511,92,7,182,18,722,231,229,131,5494,5,38
2749,98,30,124,53,3316,252,183,36,6005,5,39
2686,354,12,0,0,3167,200,219,157,6155,5,40
2699,347,3,0,0,2096,213,234,159,6853,1,41
2570,346,2,0,0,331,215,235,158,5745,2,42
2533,71,9,150,-3,577,230,223,126,5552,5,43
2703,330,27,30,17,3141,146,197,184,6186,5,44
2678,128,5,95,23,1660,229,236,141,6546,2,45
2529,68,8,210,-5,666,228,225,130,5484,5,46
2524,94,7,212,-4,684,232,229,130,5474,5,47
2536,99,6,234,0,659,230,232,136,5475,5,48
2498,66,6,95,7,900,227,227,135,5357,5,49
2489,100,7,85,13,810,232,231,131,5334,5,50
2713,117,30,60,17,3297,254,198,48,6039,5,51
2739,323,25,85,43,3118,149,205,192,6219,1,52
2696,72,2,30,0,3271,222,234,149,6071,1,53
2510,79,14,192,19,891,237,215,106,5325,5,54
2502,81,7,175,11,912,230,227,129,5316,5,55
2722,315,24,30,19,3216,148,212,200,6132,1,56
2500,74,11,190,9,930,233,219,116,5279,5,57
2486,68,5,180,-4,870,225,230,139,5262,5,58
2489,11,4,175,13,840,216,232,153,5254,5,59
2489,42,6,162,13,810,221,227,141,5247,5,60
2490,75,5,134,17,810,227,230,137,5218,5,61
2952,107,11,42,7,5845,239,226,116,3509,2,62
2705,90,8,134,22,2023,232,228,129,6615,2,63
2507,40,7,153,10,930,221,224,138,5221,5,64
2500,49,14,150,27,870,225,210,116,5205,5,65
2493,63,10,127,20,840,229,221,124,5197,5,66
2509,59,7,134,10,900,226,226,134,5184,5,67
2919,13,13,90,6,5321,207,214,142,4060,1,68
2740,54,6,218,42,2287,224,227,138,6686,2,69
2640,80,8,180,-2,1092,231,225,127,5866,2,70
2843,166,12,242,53,4434,230,244,144,4956,2,71
3008,45,14,277,10,6371,223,208,116,3036,2,72
2893,114,16,108,30,5066,245,223,102,4340,2,73
2850,6,9,0,0,4858,210,223,151,4548,2,74
2628,30,10,240,19,960,217,218,136,5645,2,75
