,x,y,cluster
0,0.6839115353,0.5435036727,1
1,0.6857011239,0.5511360485,1
2,0.6128098875,0.5702447167,1
3,0.6355533713,0.5440473666,1
4,0.6536933881,0.6055935235,1
5,0.6031794386,0.5507261033,1
6,0.5967205737,0.538333143,1
7,0.6207759979,0.5691997369,1
8,0.5861210297,0.5080189423,1
9,0.6208386228,0.5692149603,1
10,0.5921701786,0.5833238187,1
11,0.6179472591,0.5693574081,1
12,0.6454969452,0.5692519315,1
13,0.62352619,0.5282965524,1
14,0.6191488097,0.5694367874,1
15,0.6921483129,0.5661376524,1
16,0.6287431696,0.5646501057,1
17,0.6158445457,0.5699967922,1
18,0.6454375045,0.5902026347,1
19,0.6178984329,0.601659354,1
20,0.6071609016,0.5631908311,1
21,0.6173432996,0.567151098,1
22,0.6473544659,0.5512871955,1
23,0.6810148644,0.600723113,1
24,0.613211112,0.5498007362,1
25,0.6170652022,0.577906452,1
26,0.5762230978,0.5648708455,1
27,0.6212313558,0.5570775362,1
28,0.6234678108,0.5697347317,1
29,0.5827191131,0.564443502,1
30,0.6290626632,0.5076883764,1
31,0.6043937265,0.5683298265,1
32,0.642961164,0.5436537322,1
33,0.5736045243,0.4882730649,1
34,0.6436457931,0.5638824099,1
35,0.6271319031,0.5443246505,1
36,0.6130805548,0.564157519,1
37,0.6164283379,0.5963387648,1
38,0.6202346632,0.5479152055,1
39,0.6305338196,0.5429349688,1
40,0.6341841132,0.5445899732,1
41,0.6431193186,0.5745094521,1
42,0.6224976542,0.5606430812,1
43,0.6567386606,0.5520516292,1
44,0.5968914656,0.6298825077,1
45,0.5564293569,0.5726891647,1
46,0.6490304803,0.5733035389,1
47,0.5750236701,0.6204918256,1
48,0.6210891228,0.5694128649,1
49,0.6214192308,0.5491450412,1
50,0.6348209775,0.5884639014,1
51,0.569005303,0.64077596,1
52,0.5378573339,0.4983455393,1
53,0.6198960638,0.5668281438,1
54,0.614360652,0.6184834201,1
55,0.6193759579,0.5851680286,1
56,0.6767956388,0.561780489,1
57,0.6309668873,0.5960299467,1
58,0.5929853649,0.6310253524,1
59,0.6637569047,0.5916347246,1
60,0.8297322198,0.2907251246,2
61,0.8298680842,0.2907903679,2
62,0.8430065937,0.3065096478,2
63,0.828607093,0.2941590957,2
64,0.7829556021,0.1890478288,2
65,0.8753709734,0.406166577,2
66,0.825025793,0.2880284026,2
67,0.8068231513,0.2396385523,2
68,0.825131937,0.2851098534,2
69,0.8295029487,0.2882872009,2
70,0.8107610952,0.2302881034,2
71,0.8346063542,0.2844943918,2
72,0.8606403033,0.3453250474,2
73,0.8307331581,0.3089791058,2
74,0.8301260142,0.2982846455,2
75,0.8366559957,0.3112310862,2
76,0.8173069983,0.2754364503,2
77,0.8319230328,0.300264779,2
78,0.829016809,0.2847292676,2
79,0.8304731052,0.2907729697,2
80,0.8323009056,0.287126958,2
81,0.8282292202,0.2840159411,2
82,0.8078538099,0.254379183,2
83,0.8251712103,0.2973647153,2
84,0.8297449571,0.2929673186,2
85,0.8378448089,0.2914134412,2
86,0.8301483045,0.2893332681,2
87,0.903249706,0.4623671348,2
88,0.8496745624,0.3279344523,2
89,0.8292588174,0.2896670962,2
90,0.8265309155,0.2972690252,2
91,0.8336574265,0.2909132428,2
92,0.8316810244,0.2832634687,2
93,0.8296281987,0.2965209023,2
94,0.8252465726,0.2896866692,2
95,0.8155948949,0.2727103688,2
96,0.8179035278,0.2706541182,2
97,0.8462864446,0.3249158634,2
98,0.8257496954,0.2722264812,2
99,0.8330131321,0.3057865349,2
100,0.837343809,0.3036617789,2
101,0.8303393637,0.2932641755,2
102,0.8242509415,0.2810267117,2
103,0.8490812172,0.3212959489,2
104,0.8436010003,0.3297623514,2
105,0.8286983768,0.2916842008,2
106,0.830316012,0.2852599129,2
107,0.8433844665,0.3154653748,2
108,0.8244993186,0.2920397767,2
109,0.8027631417,0.2145894839,2
110,0.8317754926,0.302263398,2
111,0.8309072344,0.2900857405,2
112,0.838235419,0.3003843916,2
113,0.8231332447,0.2827828432,2
114,0.8604195237,0.3718594877,2
115,0.8051864102,0.2279252095,2
116,0.8281421821,0.2905609291,2
117,0.8310855563,0.29251714,2
118,0.8310048869,0.2839311248,2
119,0.8534808877,0.3461351514,2
120,0.8316927003,0.2912688186,2
121,0.8417583397,0.3209208001,2
122,0.8269353243,0.2971820342,2
123,0.3804616417,0.8320909926,3
124,0.4101384543,0.8285363215,3
125,0.4050913051,0.798413501,3
126,0.4551626339,0.8665100828,3
127,0.4400785041,0.8391861989,3
128,0.3708290699,0.7435275952,3
129,0.4175770287,0.7834347323,3
130,0.3710615253,0.7418954259,3
131,0.3807683979,0.8030892691,3
132,0.4291987399,0.792630772,3
133,0.4204981128,0.7889543134,3
134,0.426186372,0.8133726968,3
135,0.4381848944,0.7966802046,3
136,0.3855119752,0.8012820304,3
137,0.418782825,0.7830682825,3
138,0.4303344811,0.7856812757,3
139,0.4769094252,0.8262517194,3
140,0.4491421439,0.8176102475,3
141,0.3473500079,0.81821701,3
142,0.4171057492,0.8177798801,3
143,0.3535010551,0.8229688953,3
144,0.4484065656,0.7656004828,3
145,0.4209651465,0.7992714501,3
146,0.4244328724,0.8071963333,3
147,0.4278942296,0.8378041288,3
148,0.4035309877,0.8028467816,3
149,0.4349262723,0.7878125561,3
150,0.464620068,0.8015397413,3
151,0.4198867231,0.7989104373,3
152,0.3924325667,0.7607137614,3
153,0.4200788438,0.799641162,3
154,0.449638898,0.7968987696,3
155,0.4086089186,0.7590935534,3
156,0.3922627362,0.7390399452,3
157,0.4815224452,0.8655357832,3
158,0.5007652985,0.7914835777,3
159,0.4433084673,0.7981525279,3
160,0.4593224189,0.8666547054,3
161,0.421776087,0.7906636872,3
162,0.4098762785,0.8006633066,3
163,0.4433986898,0.8081488852,3
164,0.425089904,0.808159759,3
165,0.4236505908,0.756250034,3
166,0.4772098128,0.8389176141,3
167,0.4010684459,0.773982069,3
168,0.4227865783,0.8035524964,3
169,0.4112593354,0.8130932381,3
170,0.361403479,0.791131264,3
171,0.4818557375,0.8090666406,3
172,0.4514985416,0.7749944271,3
173,0.4529187489,0.845773595,3
174,0.4141570677,0.7411451282,3
175,0.3998499123,0.8316506005,3
176,0.4116892187,0.7257999097,3
177,0.4216635743,0.8062155094,3
178,0.4483789682,0.764356511,3
179,0.4157566584,0.7976392808,3
180,0.4118165916,0.7771507174,3
181,0.3971772054,0.8185780228,3
182,0.4896403415,0.794110707,3
183,0.3994019845,0.808465315,3
184,0.4656570953,0.7998303675,3
185,0.8045463616,0.7611041337,4
186,0.8535456356,0.7327950763,4
