x,y,cluster,_id
0.6839115353,0.5435036727,1,0
0.6857011239,0.5511360485,1,1
0.6128098875,0.5702447167,1,2
0.6355533713,0.5440473666,1,3
0.6536933881,0.6055935235,1,4
0.6031794386,0.5507261033,1,5
0.5967205737,0.538333143,1,6
0.6207759979,0.5691997369,1,7
0.5861210297,0.5080189423,1,8
0.6208386228,0.5692149603,1,9
0.5921701786,0.5833238187,1,10
0.6179472591,0.5693574081,1,11
0.6454969452,0.5692519315,1,12
0.62352619,0.5282965524,1,13
0.6191488097,0.5694367874,1,14
0.6921483129,0.5661376524,1,15
0.6287431696,0.5646501057,1,16
0.6158445457,0.5699967922,1,17
0.6454375045,0.5902026347,1,18
0.6178984329,0.601659354,1,19
0.6071609016,0.5631908311,1,20
0.6173432996,0.567151098,1,21
0.6473544659,0.5512871955,1,22
0.6810148644,0.600723113,1,23
0.613211112,0.5498007362,1,24
0.6170652022,0.577906452,1,25
0.5762230978,0.5648708455,1,26
0.6212313558,0.5570775362,1,27
0.6234678108,0.5697347317,1,28
0.5827191131,0.564443502,1,29
0.6290626632,0.5076883764,1,30
0.6043937265,0.5683298265,1,31
0.642961164,0.5436537322,1,32
0.5736045243,0.4882730649,1,33
0.6436457931,0.5638824099,1,34
0.6271319031,0.5443246505,1,35
0.6130805548,0.564157519,1,36
0.6164283379,0.5963387648,1,37
0.6202346632,0.5479152055,1,38
0.6305338196,0.5429349688,1,39
0.6341841132,0.5445899732,1,40
0.6431193186,0.5745094521,1,41
0.6224976542,0.5606430812,1,42
0.6567386606,0.5520516292,1,43
0.5968914656,0.6298825077,1,44
0.5564293569,0.5726891647,1,45
0.6490304803,0.5733035389,1,46
0.5750236701,0.6204918256,1,47
0.6210891228,0.5694128649,1,48
0.6214192308,0.5491450412,1,49
0.6348209775,0.5884639014,1,50
0.569005303,0.64077596,1,51
0.5378573339,0.4983455393,1,52
0.6198960638,0.5668281438,1,53
0.614360652,0.6184834201,1,54
0.6193759579,0.5851680286,1,55
0.6767956388,0.561780489,1,56
0.6309668873,0.5960299467,1,57
0.5929853649,0.6310253524,1,58
0.6637569047,0.5916347246,1,59
0.8297322198,0.2907251246,2,300
0.8298680842,0.2907903679,2,301
