cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
[0.29078014 0.41134752 0.0212766  0.14184397 0.34042553 0.17021277],[0. 0. 0. 0. 0. 0.],[0.14539007 0.20567376 0.0106383  0.07092199 0.17021277 0.08510638],18,,[0.29078014 0.21276596 0.04964539 0.11347518 0.21985816 0.20567376],[0. 0. 0. 0. 0. 0.],[0.14539007 0.10638298 0.0248227  0.05673759 0.10992908 0.10283688],,8.0,False,True,[],[]
[0.34042553 0.08510638 0.0212766  0.09219858 0.14893617 0.10638298],[0.09219858 0.         0.         0.         0.0070922  0.        ],[0.21631206 0.04255319 0.0106383  0.04609929 0.07801418 0.05319149],37,,,,,,,,,,
[0.05673759 0.15602837 0.0141844  0.09929078 0.34042553 0.12765957],[0.04964539 0.07092199 0.         0.0141844  0.24822695 0.10638298],[0.05319149 0.11347518 0.0070922  0.05673759 0.29432624 0.11702128],13,,,,,,,,,,
[0.12765957 0.08510638 0.         0.03546099 0.04255319 0.04255319],[0.        0.        0.        0.        0.0070922 0.       ],[0.06382979 0.04255319 0.         0.0177305  0.0248227  0.0212766 ],34,,,,,,,,,,
[0.39716312 0.24822695 0.0070922  0.14184397 0.11347518 0.13475177],[0.23404255 0.08510638 0.         0.0141844  0.         0.0070922 ],[0.31560284 0.16666667 0.0035461  0.07801418 0.05673759 0.07092199],44,,,,,,,,,,
[0.24113475 0.41134752 0.0141844  0.09929078 0.34042553 0.17021277],[0.02836879 0.07092199 0.         0.         0.0212766  0.0141844 ],[0.13475177 0.24113475 0.0070922  0.04964539 0.18085106 0.09219858],24,,,,,,,,,,
[0.39716312 0.07801418 0.0212766  0.09219858 0.14893617 0.21276596],[0.19858156 0.0070922  0.         0.         0.0212766  0.0070922 ],[0.29787234 0.04255319 0.0106383  0.04609929 0.08510638 0.10992908],57,,,,,,,,,,
[0.60992908 0.10638298 0.0070922  0.11347518 0.17730496 0.21276596],[0.35460993 0.         0.         0.0212766  0.0141844  0.08510638],[0.4822695  0.05319149 0.0035461  0.06737589 0.09574468 0.14893617],4,,,,,,,,,,
[0.38297872 0.19148936 0.0070922  0.12056738 0.07092199 0.10638298],[0.24822695 0.0070922  0.         0.         0.         0.0070922 ],[0.31560284 0.09929078 0.0035461  0.06028369 0.03546099 0.05673759],56,,,,,,,,,,
[0.5248227  0.55319149 0.34751773 0.5035461  0.23404255 0.31205674],[0.0212766 0.        0.        0.        0.        0.       ],[0.27304965 0.27659574 0.17375887 0.25177305 0.11702128 0.15602837],47,,,,,,,,,,
[0.26950355 0.24822695 0.0212766  0.09219858 0.34042553 0.10638298],[0.04964539 0.0212766  0.         0.0141844  0.0070922  0.0070922 ],[0.15957447 0.13475177 0.0106383  0.05319149 0.17375887 0.05673759],21,,,,,,,,,,
[0.07801418 0.08510638 0.         0.03546099 0.0070922  0.0212766 ],[0.         0.06382979 0.         0.0141844  0.0070922  0.        ],[0.03900709 0.07446809 0.         0.0248227  0.0070922  0.0106383 ],35,,,,,,,,,,
[0.24822695 0.0070922  0.         0.0212766  0.07092199 0.06382979],[0.09219858 0.         0.         0.         0.0141844  0.        ],[0.17021277 0.0035461  0.         0.0106383  0.04255319 0.03191489],31,,,,,,,,,,
[0.35460993 0.19858156 0.         0.04255319 0.07801418 0.21276596],[0.28368794 0.07801418 0.         0.02836879 0.0141844  0.06382979],[0.31914894 0.13829787 0.         0.03546099 0.04609929 0.13829787],50,,,,,,,,,,
[0.26241135 0.41134752 0.         0.07801418 0.17021277 0.16312057],[0.02836879 0.20567376 0.         0.0141844  0.04255319 0.0141844 ],[0.14539007 0.30851064 0.         0.04609929 0.10638298 0.08865248],17,,,,,,,,,,
[0.29078014 0.17021277 0.0212766  0.14184397 0.14184397 0.07801418],[0.19858156 0.0070922  0.         0.         0.         0.0070922 ],[0.24468085 0.08865248 0.0106383  0.07092199 0.07092199 0.04255319],41,,,,,,,,,,
[0.20567376 0.20567376 0.0141844  0.09929078 0.34042553 0.17021277],[0.        0.        0.        0.        0.0070922 0.       ],[0.10283688 0.10283688 0.0070922  0.04964539 0.17375887 0.08510638],14,,,,,,,,,,
[0.20567376 0.29787234 0.0141844  0.09929078 0.34042553 0.17021277],[0.04964539 0.07092199 0.         0.         0.0212766  0.09929078],[0.12765957 0.18439716 0.0070922  0.04964539 0.18085106 0.13475177],46,,,,,,,,,,
