,0,1,cluster
0,0.953895848318876,0.399184304930775,2
1,0.9462864492726886,0.4006138689609841,2
2,0.7453267313355162,0.979616560901434,1
3,0.7425615505195133,0.978589728589181,1
4,0.7536179706371228,0.9763956615110654,1
5,0.3869620191940478,0.6139175514485686,0
6,0.3785112307694618,0.9597583846991188,3
7,0.9508197985805468,0.3945989739219742,2
8,0.9392943092297874,0.3898239817510004,2
9,0.3671568893564025,0.585431078209051,0
10,0.367171665111072,0.5855789083138176,0
11,0.9575235932834624,0.4023476447370144,2
12,0.9574848334143524,0.4109849071926992,2
13,0.7409358208409006,0.9884794747507916,1
14,0.3636650857450413,0.5492418487799566,0
15,0.7469521920354697,0.983514590623976,1
16,0.9492258851027536,0.3845750587420832,2
17,0.3976554259037678,0.9850498101411892,3
18,0.3900008181293937,1.0004840456163464,3
19,0.7426198336344216,0.9802653297760175,1
20,0.9535714210767277,0.4094792017208148,2
21,0.2984135081472815,0.0925401671170536,4
22,0.3646192714616801,0.5796253010438512,0
23,0.7395073948948031,0.9889824973753556,1
24,0.950510935600964,0.4041846530850626,2
25,0.3925982935058698,0.9952761788395484,3
26,0.3917360262467341,0.9816350115256464,3
27,0.9553263422264914,0.4182014049733547,2
28,0.4169374069118144,0.98547465594638,3
29,0.95212580739341,0.3945287533824306,2
30,0.3376780104735111,0.5837421033602208,0
31,0.3988514766119272,0.9977765497012844,3
32,0.9648901871451286,0.3832189130441116,2
33,0.3955276354131204,0.5826170179098937,0
34,0.3690184655102832,0.5867615587767538,0
35,0.9453168124155908,0.4103126337846899,2
36,0.3546428138371915,0.0653303175685239,4
37,0.3773962166789451,1.004038422821331,3
38,0.2653326678237552,0.066233428658167,4
39,0.9509824286797748,0.412272356006897,2
40,0.3459057493092389,0.57037478336389,0
41,0.3956529627449259,0.9920619564567258,3
42,0.937279459278206,0.4025640051137228,2
43,0.3597197774319102,0.5717683365223453,0
44,0.3745654086417831,0.6017150723149309,0
45,0.9475049186691116,0.4064148547393705,2
46,0.9513891810454872,0.4028458852077506,2
47,0.9469989694547484,0.3853976991594583,2
48,0.3092729075525069,0.1032480734740715,4
49,0.943746849166025,0.4140907409363128,2
50,0.7205815740242364,1.0064987577271172,1
51,0.743490410073664,0.9830417540144776,1
52,0.738615480843826,0.9780863137686392,1
53,0.7451820347797082,0.9882307165191928,1
54,0.9442479264792428,0.406871310771567,2
55,0.3838243266488423,1.0040927202916636,3
56,0.3742149185753463,0.5927330139474715,0
57,0.3039459428702076,0.0674629179553655,4
